Country Name,Year,GDP,Inflation,Unemployment,LifeExp,Education
Africa Eastern and Southern,2019,2.03007686221603,4.10285075461156,7.45910636823544,63.8572612837043,8.67273044586182
Africa Western and Central,2019,3.28168276850104,1.98309228487232,4.39076373818366,57.149956341607,9.73875999450684
Albania,2019,2.06257790176122,1.41109078954242,11.466,79.467,61.4085141527142
United Arab Emirates,2019,1.27134240761141,-1.93108114782172,2.331,82.596,53.8814655213653
Argentina,2019,-2.00086100285785,53.5483043492339,9.843,76.847,95.1928240640628
Armenia,2019,7.59999999853918,1.44344660770698,18.304,76.2219512195122,53.5944174785534
Australia,2019,2.19401703622717,1.610770929127,5.143,82.9,109.759559631348
Austria,2019,1.75497619649288,1.53089564152643,4.56,81.8951219512195,86.3234329223633
Azerbaijan,2019,2.47980879185565,2.61057182799215,5.0,73.29,32.9221812477847
Belgium,2019,2.4428900448156,1.43681956996438,5.364,81.9951219512195,79.3044815063477
Benin,2019,6.86568662848335,0.732849371241066,1.214,59.888,10.3906803131103
Burkina Faso,2019,5.88920497068135,-3.23338933983321,4.493,60.184,6.90532594926159
Bangladesh,2019,7.88191515117722,5.59199639930629,4.504,72.625,22.7094642473405
Bulgaria,2019,3.79331765354152,3.10372944796771,4.148,75.1121951219512,84.7503128051758
Bahrain,2019,2.05287774418655,1.00582004702136,1.217,80.471,52.9045782700327
Bosnia and Herzegovina,2019,2.88585242083978,0.56278215406123,15.692,77.394,46.6677894592285
Belarus,2019,1.44645548204305,5.59815595039853,4.165,74.2268292682927,81.2921953254514
Belize,2019,4.25658710030072,0.187069385181424,9.053,72.577,25.138736158351
Brazil,2019,1.22077782271943,3.73297621216893,11.936,75.809,53.6215400695801
Barbados,2019,0.227712137486577,1.67662473276987,8.41,76.495,48.935497470489
Brunei Darussalam,2019,3.86884436177075,-0.390522069165529,6.6,75.049,27.7715019255456
Bhutan,2019,5.75514851246506,2.72643037388832,2.72,72.005,15.9420291550317
Botswana,2019,3.0317733945467,2.7728644286332,20.094,67.167,21.4965480211896
Canada,2019,1.90843194590616,1.94926902411592,5.69,82.1585365853659,73.1128768920898
Switzerland,2019,1.14198218965691,0.362886179940674,4.394,83.9048780487805,66.3093414306641
Chile,2019,0.634367533828438,2.55754475703326,7.493,80.324,92.0659713745117
China,2019,6.06850235053705,2.89923416358226,4.56,77.94,56.6050917923292
Cote d'Ivoire,2019,6.72137167584978,0.79085551205366,2.401,60.274,10.3256981639741
Cameroon,2019,3.47505998194981,2.45280214062732,3.632,61.695,15.0528614131463
Colombia,2019,3.18685539245533,3.52301932741446,10.28,76.793,56.6663017272949
Costa Rica,2019,2.41751181762513,2.09604635327807,10.807,80.296,55.0202903747559
Cyprus,2019,5.87559583386607,0.250370996758493,7.155,81.454,93.9260711669922
Czechia,2019,3.56577658128261,2.84787595918041,2.015,79.2292682926829,66.8802185058594
Germany,2019,0.977734697038784,1.44565976888253,3.163,81.2926829268293,72.705078125
Denmark,2019,1.71140093932736,0.75813157251162,5.018,81.4512195121951,81.6945877075195
Algeria,2019,0.899999999219148,1.95176821052891,12.302,75.682,53.8645018203122
Ecuador,2019,0.1654044646003,0.266012515466155,3.812,77.286,47.2627814012203
"Egypt, Arab Rep.",2019,5.55209307156956,9.15279959324803,7.851,71.213,33.622825887244
Spain,2019,1.96117850841711,0.699518994458738,14.104,83.8317073170732,91.5387725830078
Estonia,2019,3.72664943466884,2.27725931243522,4.514,78.6463414634147,72.7060317993164
Finland,2019,1.34973845741737,1.0240939296343,6.695,81.9829268292683,94.5891189575195
Fiji,2019,-0.581946709343867,1.79388647514555,4.661,67.009,77.5562006170027
France,2019,2.02744646419237,1.10825492288293,8.415,82.8268292682927,67.7331314086914
United Kingdom,2019,1.25629899760824,1.73810460086513,3.657,81.3691219512195,65.5119934082031
Georgia,2019,5.38071926589951,4.85289821696723,11.565,74.165,69.6463934713126
Ghana,2019,6.5077747939152,7.14364003330857,3.067,64.455,17.3607250095097
Greece,2019,2.27718065334808,0.253007522038059,17.045,81.6390243902439,143.96272277832
Guatemala,2019,4.01789785040324,3.69998398008605,2.193,71.639,22.559501429793
"Hong Kong SAR, China",2019,-1.6724459934221,2.88320853773996,2.917,85.1558536585366,83.8542119335773
Honduras,2019,2.55963434592314,4.36587159819267,5.698,72.124,25.3231382609304
Croatia,2019,3.10152683894853,0.771820346498019,6.551,78.2243902439024,74.0501174926758
Hungary,2019,5.07718495088933,3.33858635382008,3.411,76.3195121951219,54.2122917175293
Indonesia,2019,5.01928768046282,3.03058460941661,3.59,70.349,37.3230862728703
India,2019,3.87143694070356,3.72950573539129,6.51,70.746,29.0233593907143
Ireland,2019,4.97288003766816,0.937842961189274,4.95,82.7024390243903,74.444580078125
"Iran, Islamic Rep.",2019,-2.36143538770575,39.9073455697784,10.74,76.855,58.1169509887695
Iceland,2019,1.13821230465001,3.01397179156053,3.507,83.1634146341463,70.6093521118164
Israel,2019,3.71049632750405,0.817645940292794,3.731,82.8048780487805,57.4564514160156
Italy,2019,0.429162533780342,0.611246943765304,9.884,83.4975609756098,65.6895065307617
Jordan,2019,1.75124077866225,0.761514047265601,16.801,76.865,30.1108403894558
Japan,2019,-0.402169200894946,0.46877615938395,2.351,84.3563414634146,62.4008407592773
Kazakhstan,2019,4.50000000091883,5.33356098916669,4.8,73.658,57.3421123781351
Kenya,2019,5.11415885767801,5.23963795764792,5.014,62.939,10.4975595474243
Kyrgyz Republic,2019,4.60062565707598,1.13362257718804,5.45,71.6,40.8257000638543
Cambodia,2019,7.93695013588524,1.94257500833107,0.119,70.127,12.9409846754696
"Korea, Rep.",2019,2.31380210595475,0.383000303608136,3.746,83.2268292682927,93.9989166259766
Kuwait,2019,2.26381706595791,1.09184802655856,2.213,81.969756097561,50.4400595299189
Lao PDR,2019,5.4577350924848,3.32255881256925,2.531,67.911,13.7404020217342
Lebanon,2019,-6.91492472851026,3.00538949390383,11.301,78.208,50.1483937104215
St. Lucia,2019,-0.700322396299441,0.539087559191757,15.613,72.249,15.9467096328735
Sri Lanka,2019,-0.220483886831275,3.52839358231811,4.67,76.698,19.4563160693078
Lithuania,2019,4.67735183530451,2.33450937988027,6.255,76.2829268292683,75.0942306518555
Luxembourg,2019,2.74931929072659,1.74332075653848,5.592,82.6390243902439,19.3969497680664
Latvia,2019,0.675372771884227,2.81140920075624,6.312,75.3878048780488,94.8645324707031
"Macao SAR, China",2019,-2.4609094006739,2.75193081051975,1.73,83.9292682926829,80.0911214953271
Morocco,2019,2.89097476137077,0.303386036590383,9.191,74.245,37.7212021382481
Moldova,2019,3.5523140853476,4.83778351428728,1.502,70.181,54.7812048030675
Madagascar,2019,4.41123212909589,5.61051441492365,2.479,63.504,5.28586006164551
Maldives,2019,6.92305989050099,0.220029731065383,4.562,79.707,24.6480059688561
Mexico,2019,-0.392690505066824,3.63596142127046,3.477,74.53,43.0441398620605
North Macedonia,2019,3.91041953840173,0.766439573459805,17.414,76.6024390243903,43.1991004943848
Malta,2019,4.08505582134097,1.6420600176894,4.08,82.6585365853659,58.4985084533691
Montenegro,2019,4.39391565821528,0.361563704540767,15.128,76.6829268292683,56.2633209228516
Mongolia,2019,5.60224422064255,7.30106953550729,9.024,71.0531707317073,67.970817565918
Mauritania,2019,3.14100489306969,2.30009262117937,10.416,67.64,5.88823986461851
Mauritius,2019,2.89128499346516,0.405655190309553,6.331,74.2358536585366,42.9878710798151
Malaysia,2019,4.41318742129586,0.662891865764326,3.33,75.9,40.8082966813944
Namibia,2019,-0.839152163419357,3.72239414422695,19.929,63.546,25.8966511201824
Niger,2019,5.93985257123522,-2.48979265070855,0.531,60.031,4.15170730347346
Norway,2019,1.12374694968757,2.16773003305411,3.684,82.9585365853659,85.7633819580078
Nepal,2019,6.65705543110467,5.56616035243723,10.477,69.299,13.8072821953912
New Zealand,2019,2.31747144034802,1.61963190184048,4.109,82.0560975609756,77.5843734741211
